Tiempo(ms),Area,Porciones,Tiempo (s)
10016,3242,270,"10,016"
20018,5702,475,"20,018"
30196,7982,665,"30,196"
40213,10082,840,"40,213"
50249,11942,995,"50,249"
60282,14282,1190,"60,282"
70316,16634,1386,"70,316"
80325,18314,1526,"80,325"
90352,20498,1708,"90,352"
100360,22730,1894,"100,36"
110403,24866,2072,"110,403"
120448,25994,2166,"120,448"
130456,28046,2337,"130,456"
140633,30122,2510,"140,633"
154412,31838,2653,"154,412"
166745,32294,2691,"166,745"
179087,32702,2725,"179,087"
191510,33110,2759,"191,51"
203982,33482,2790,"203,982"
216467,33854,2821,"216,467"
228728,34094,2841,"228,728"
240955,34322,2860,"240,955"
253190,34538,2878,"253,19"
265514,34754,2896,"265,514"
277924,34970,2914,"277,924"
290293,35162,2930,"290,293"
302725,35354,2946,"302,725"
315146,35534,2961,"315,146"
327624,35714,2976,"327,624"
340157,35894,2991,"340,157"
353594,36050,3004,"353,594"
366606,36218,3018,"366,606"
379126,36374,3031,"379,126"
391683,36518,3043,"391,683"
404606,36662,3055,"404,606"
417252,36806,3067,"417,252"
429928,36938,3078,"429,928"
442808,37070,3089,"442,808"
455599,37190,3099,"455,599"
468377,37310,3109,"468,377"
481174,37430,3119,"481,174"
494000,37538,3128,494
506788,37646,3137,"506,788"
519616,37754,3146,"519,616"
532486,37862,3155,"532,486"
545341,37958,3163,"545,341"
558215,38054,3171,"558,215"
571044,38150,3179,"571,044"
583917,38234,3186,"583,917"
597060,38318,3193,"597,06"
609997,38402,3200,"609,997"
623001,38486,3207,"623,001"
635995,38570,3214,"635,995"
648933,38642,3220,"648,933"
662134,38714,3226,"662,134"
675121,38786,3232,"675,121"
688180,38858,3238,"688,18"
701330,38930,3244,"701,33"
714339,38990,3249,"714,339"
727470,39050,3254,"727,47"
740524,39110,3259,"740,524"
753591,39170,3264,"753,591"
766617,39230,3269,"766,617"
779857,39290,3274,"779,857"
792868,39338,3278,"792,868"
805994,39398,3283,"805,994"
819066,39446,3287,"819,066"
832519,39494,3291,"832,519"
845756,39542,3295,"845,756"
858871,39590,3299,"858,871"
871991,39638,3303,"871,991"
885050,39674,3306,"885,05"
898247,39722,3310,"898,247"
911328,39758,3313,"911,328"
924548,39794,3316,"924,548"
937740,39842,3320,"937,74"
950893,39878,3323,"950,893"
964110,39914,3326,"964,11"
977286,39950,3329,"977,286"
994811,39986,3332,"994,811"
1008017,40022,3335,"1008,017"
1021241,40058,3338,"1021,241"
1034393,40082,3340,"1034,393"
1047635,40118,3343,"1047,635"
1060824,40142,3345,"1060,824"
1074148,40178,3348,"1074,148"
1087341,40202,3350,"1087,341"
1100525,40226,3352,"1100,525"
1113729,40250,3354,"1113,729"
1131348,40286,3357,"1131,348"
1144600,40310,3359,"1144,6"
1157837,40334,3361,"1157,837"
1171070,40358,3363,"1171,07"
1184320,40382,3365,"1184,32"
1201904,40406,3367,"1201,904"
1215534,40430,3369,"1215,534"
1233215,40454,3371,"1233,215"
1251071,40478,3373,"1251,071"
1268821,40502,3375,"1268,821"
1286523,40526,3377,"1286,523"
1304279,40550,3379,"1304,279"
1322023,40574,3381,"1322,023"
1335300,40586,3382,"1335,3"
1353056,40610,3384,"1353,056"
1366325,40622,3385,"1366,325"
1388480,40646,3387,"1388,48"
1401792,40658,3388,"1401,792"
1423952,40682,3390,"1423,952"
1437233,40694,3391,"1437,233"
1450565,40706,3392,"1450,565"
1463861,40718,3393,"1463,861"
1477135,40730,3394,"1477,135"
1490453,40742,3395,"1490,453"
1508167,40754,3396,"1508,167"
1521686,40766,3397,"1521,686"
1539436,40778,3398,"1539,436"
1557137,40790,3399,"1557,137"
1570537,40802,3400,"1570,537"
1588254,40814,3401,"1588,254"
1610532,40826,3402,"1610,532"
1628322,40838,3403,"1628,322"
1646032,40850,3404,"1646,032"
1668222,40862,3405,"1668,222"
1690442,40874,3406,"1690,442"
1712614,40886,3407,"1712,614"
1739227,40898,3408,"1739,227"
1765804,40910,3409,"1765,804"
1792419,40922,3410,"1792,419"
1819169,40934,3411,"1819,169"
4317021,40946,3412,"4317,021"
4354755,40958,3413,"4354,755"
4390953,40970,3414,"4390,953"
